project_id,developer_id,locality_id,project_name,project_type,launch_date,completion_date,total_units,units_sold,units_available,project_status
312,33,86,Pai Towers,Residential,2023-08-06,2026-09-17,339,289,50,Under Construction
313,23,39,Purohit Vista,Residential,2022-06-17,2024-11-26,106,91,15,Under Construction
314,36,7,Nagy Greens,Residential,2023-02-19,2026-09-30,416,323,93,Under Construction
315,26,78,Khare Meadows,Residential,2025-06-01,2029-03-21,516,452,64,Under Construction
316,32,54,Kaur Towers,Residential,2023-10-11,2026-06-03,201,169,32,Completed
317,31,84,Roy Towers,Residential,2025-05-04,2029-02-20,281,225,56,Under Construction
318,37,46,Solanki Towers,Residential,2020-11-14,2022-11-14,419,382,37,Under Construction
319,21,68,Raj Enclave,Mixed-Use,2024-07-05,2028-05-04,399,380,19,Completed
320,27,78,Doshi Heights,Villa Community,2022-10-03,2025-07-22,594,492,102,Nearing Completion
321,5,45,Bansal Residency,Residential,2023-05-11,2024-05-22,292,224,68,Completed
322,39,50,Narula Meadows,Residential,2021-04-29,2023-08-04,234,163,71,Completed
323,9,32,Sarraf Enclave,Villa Community,2025-06-01,2027-12-18,454,404,50,Completed
324,21,34,Shan Enclave,Residential,2021-03-07,2022-05-30,82,81,1,Completed
325,37,67,Dhawan Greens,Residential,2020-09-18,2023-10-19,296,248,48,Nearing Completion
326,13,25,Dubey Residency,Residential,2022-11-20,2024-08-20,418,267,151,Completed
327,23,40,Lanka Greens,Villa Community,2021-01-16,2023-08-14,179,153,26,Completed
328,15,59,Rao Enclave,Residential,2022-06-30,2026-02-20,153,101,52,Under Construction
329,28,85,Narasimhan Residency,Residential,2024-03-16,2025-05-10,391,372,19,Nearing Completion
330,27,37,Walla Heights,Residential,2025-04-27,2027-07-07,510,354,156,Under Construction
331,20,30,Nadig Meadows,Residential,2022-09-21,2025-09-18,318,220,98,Nearing Completion
332,26,21,Sura Greens,Residential,2024-01-30,2026-05-19,184,182,2,Completed
333,36,50,Banik Heights,Residential,2025-06-06,2029-05-31,168,149,19,Under Construction
334,27,49,Keer Meadows,Residential,2024-01-11,2025-08-16,531,384,147,Under Construction
335,23,34,Mani Heights,Residential,2024-02-08,2025-09-29,191,189,2,Completed
336,10,43,Chana Heights,Mixed-Use,2026-02-12,2028-03-25,226,191,35,Nearing Completion
337,14,59,Chaudhari Residency,Residential,2023-01-07,2026-10-24,344,237,107,Nearing Completion
338,40,5,Chaudhry Residency,Villa Community,2024-10-24,2026-09-08,471,313,158,Completed
339,3,41,Mistry Residency,Residential,2023-01-27,2025-09-07,190,170,20,Completed
340,19,37,Batra Towers,Residential,2025-08-07,2027-10-31,529,432,97,Completed
341,31,85,Bhalla Towers,Residential,2022-06-01,2024-09-27,403,326,77,Under Construction
342,40,32,Prasad Towers,Residential,2022-03-31,2025-01-05,268,230,38,Nearing Completion
343,13,28,Konda Residency,Villa Community,2023-01-01,2024-04-25,468,463,5,Under Construction
344,30,27,Gole Meadows,Residential,2023-07-22,2026-02-06,480,359,121,Nearing Completion
345,34,49,Brar Meadows,Villa Community,2021-07-26,2025-01-02,423,329,94,Completed
346,28,56,Raja Greens,Residential,2023-12-26,2026-08-22,182,146,36,Nearing Completion
347,35,16,Khosla Heights,Residential,2024-01-15,2027-05-28,212,129,83,Under Construction
348,20,41,Dhar Enclave,Residential,2023-05-15,2025-04-27,545,343,202,Completed
349,8,2,Kumar Vista,Residential,2021-11-28,2023-06-28,520,481,39,Completed
350,3,85,Andra Vista,Residential,2023-02-28,2024-03-13,205,185,20,Under Construction
351,15,17,Shroff Enclave,Residential,2025-07-29,2028-08-26,168,134,34,Under Construction
352,19,7,Dugar Towers,Residential,2025-08-03,2027-10-30,450,445,5,Under Construction
353,28,24,Pai Enclave,Residential,2021-01-14,2022-05-09,164,162,2,Under Construction
354,36,36,Mistry Enclave,Villa Community,2026-01-24,2027-11-13,227,183,44,Completed
355,21,61,Samra Heights,Residential,2024-02-23,2026-10-24,272,269,3,Completed
356,31,25,Shan Greens,Mixed-Use,2024-06-05,2026-01-14,223,121,102,Completed
357,17,18,Issac Greens,Residential,2025-04-13,2027-11-17,104,70,34,Nearing Completion
358,9,15,Subramanian Heights,Mixed-Use,2026-02-16,2028-08-29,104,87,17,Under Construction
359,29,28,Raj Vista,Mixed-Use,2021-03-21,2023-09-28,274,211,63,Under Construction
360,38,87,Merchant Enclave,Residential,2023-10-11,2026-12-01,533,371,162,Completed
361,32,1,Merchant Towers,Residential,2026-02-03,2029-08-06,499,389,110,Completed
362,5,36,Randhawa Residency,Mixed-Use,2020-10-02,2023-04-14,499,457,42,Completed
363,19,81,Bawa Residency,Residential,2022-02-21,2023-05-14,257,201,56,Nearing Completion
364,29,30,Taneja Heights,Residential,2025-08-22,2028-04-10,589,487,102,Nearing Completion
365,8,87,Mangat Towers,Residential,2025-03-19,2027-07-06,598,380,218,Completed
366,16,49,Karpe Meadows,Residential,2024-11-24,2027-09-21,435,327,108,Completed
367,28,84,Pandey Meadows,Residential,2023-12-21,2026-12-09,436,339,97,Under Construction
368,1,80,Gupta Meadows,Mixed-Use,2021-11-01,2023-02-22,67,66,1,Completed
369,27,39,Devan Residency,Residential,2024-01-18,2027-05-23,460,323,137,Under Construction
370,38,42,Baral Meadows,Residential,2024-02-02,2027-03-23,256,243,13,Nearing Completion
371,31,18,Sastry Heights,Mixed-Use,2022-05-01,2025-07-30,548,490,58,Completed
372,1,68,Patla Heights,Residential,2020-10-25,2023-09-17,127,125,2,Completed
373,32,41,Chana Heights,Residential,2024-08-29,2026-10-25,369,316,53,Nearing Completion
374,9,58,Narain Residency,Residential,2025-08-20,2028-02-26,145,95,50,Under Construction
375,10,16,Gill Enclave,Residential,2024-09-28,2027-01-27,292,240,52,Under Construction
376,5,32,Zacharia Residency,Residential,2021-09-26,2025-07-20,396,326,70,Nearing Completion
377,39,23,Pau Heights,Residential,2025-06-14,2027-11-03,195,168,27,Nearing Completion
378,40,13,Mahajan Enclave,Mixed-Use,2023-07-21,2026-11-18,466,383,83,Completed
379,25,25,Kurian Enclave,Residential,2025-03-14,2028-06-09,124,100,24,Nearing Completion
380,11,6,Subramaniam Enclave,Residential,2025-08-29,2027-05-22,352,231,121,Under Construction
381,8,26,Merchant Greens,Mixed-Use,2025-12-14,2029-08-23,537,495,42,Nearing Completion
382,22,81,Nigam Enclave,Residential,2024-09-26,2026-06-25,362,259,103,Nearing Completion
383,13,42,Sidhu Greens,Residential,2025-01-20,2027-01-12,458,384,74,Completed
384,25,29,Dhaliwal Towers,Residential,2025-12-05,2027-11-02,218,197,21,Under Construction
385,20,21,Kara Towers,Residential,2024-10-12,2028-02-17,357,306,51,Under Construction
386,17,47,Ranganathan Meadows,Residential,2025-05-13,2029-02-09,435,271,164,Nearing Completion
387,31,15,Pau Heights,Residential,2025-12-14,2028-10-22,355,326,29,Under Construction
388,4,37,Rana Heights,Residential,2021-02-16,2024-01-15,450,331,119,Under Construction
389,38,16,Yadav Towers,Residential,2020-09-15,2022-05-23,374,284,90,Completed
390,25,39,Pillay Heights,Residential,2021-04-24,2023-10-17,522,342,180,Completed
391,30,29,Lala Heights,Residential,2024-05-01,2025-06-28,294,283,11,Nearing Completion
392,12,46,Prabhu Towers,Residential,2023-11-06,2026-09-27,70,65,5,Completed
393,24,88,Kaur Vista,Residential,2021-03-24,2023-01-19,127,110,17,Under Construction
394,37,74,Narang Enclave,Residential,2023-03-24,2025-12-17,293,281,12,Under Construction
395,14,83,Kant Enclave,Residential,2025-08-31,2028-12-31,381,288,93,Nearing Completion
396,12,10,Shetty Greens,Residential,2024-03-12,2027-02-09,573,491,82,Completed
397,38,30,Mittal Towers,Residential,2025-08-19,2027-06-18,555,538,17,Under Construction
398,35,6,Dada Meadows,Mixed-Use,2024-03-15,2026-06-21,87,80,7,Nearing Completion
399,40,64,Barad Vista,Residential,2021-05-26,2024-05-16,158,133,25,Under Construction
400,17,60,Tailor Vista,Villa Community,2022-04-22,2023-12-14,427,260,167,Completed
401,30,74,Keer Vista,Residential,2021-04-09,2024-10-22,74,56,18,Completed
402,32,67,Deshmukh Enclave,Residential,2025-07-06,2029-03-08,211,169,42,Under Construction
403,2,15,Prabhakar Heights,Residential,2022-10-08,2024-05-25,168,109,59,Completed
404,28,26,Zachariah Residency,Villa Community,2024-04-27,2026-11-28,591,499,92,Completed
405,30,40,Dubey Enclave,Residential,2022-12-09,2024-10-08,487,360,127,Nearing Completion
406,6,73,Chaudhary Greens,Residential,2025-07-02,2027-08-06,238,167,71,Under Construction
407,10,10,Reddy Vista,Residential,2025-03-20,2028-08-21,122,117,5,Under Construction
408,35,3,Mammen Enclave,Mixed-Use,2025-10-18,2029-04-13,435,338,97,Under Construction
409,38,44,Prabhakar Meadows,Residential,2020-10-23,2023-07-20,323,268,55,Under Construction
410,29,84,Saxena Residency,Residential,2021-10-29,2024-03-15,211,121,90,Under Construction
411,27,14,Patil Meadows,Mixed-Use,2025-11-10,2027-12-13,146,104,42,Nearing Completion
412,29,59,Pillai Vista,Residential,2021-03-06,2023-02-12,341,169,172,Completed
413,26,21,Parmer Residency,Residential,2023-08-17,2027-06-11,48,30,18,Completed
414,38,47,Majumdar Towers,Mixed-Use,2020-12-18,2024-06-22,242,238,4,Under Construction
415,34,73,Das Greens,Villa Community,2021-09-04,2024-10-07,273,246,27,Under Construction
416,4,3,Sha Heights,Mixed-Use,2025-11-07,2028-07-20,364,264,100,Completed
417,18,33,Kala Vista,Residential,2021-02-19,2025-01-16,562,375,187,Under Construction
418,3,37,Bail Greens,Residential,2024-02-29,2025-12-30,162,149,13,Nearing Completion
419,18,77,Nath Enclave,Residential,2020-11-28,2023-09-20,362,179,183,Completed
420,1,31,Dass Residency,Residential,2021-12-21,2024-01-27,88,84,4,Completed
421,18,46,Jha Vista,Residential,2024-12-17,2026-12-21,593,587,6,Under Construction
422,20,29,Johal Meadows,Residential,2021-01-03,2024-08-13,483,478,5,Under Construction
423,8,10,Kaul Heights,Villa Community,2023-11-10,2025-08-26,350,263,87,Nearing Completion
424,13,43,Divan Vista,Villa Community,2022-06-10,2025-04-07,557,369,188,Completed
425,7,69,Agate Heights,Residential,2024-12-20,2027-05-14,465,404,61,Completed
426,20,61,Dhillon Enclave,Mixed-Use,2022-02-27,2025-12-17,250,155,95,Under Construction
427,33,46,Zachariah Meadows,Residential,2026-01-23,2027-02-25,154,132,22,Completed
428,32,53,Ghosh Meadows,Residential,2022-01-04,2025-04-30,109,68,41,Nearing Completion
429,29,59,Bal Residency,Residential,2021-03-27,2025-01-06,597,458,139,Completed
430,38,27,Parmar Towers,Residential,2021-05-10,2024-09-02,552,478,74,Under Construction
431,6,75,Khanna Residency,Residential,2024-12-23,2028-05-18,259,199,60,Completed
432,26,71,Babu Enclave,Residential,2023-11-15,2027-06-09,507,455,52,Under Construction
433,16,24,Ben Towers,Residential,2021-08-04,2024-11-01,281,196,85,Under Construction
434,13,47,Sama Towers,Residential,2021-04-30,2025-03-17,414,301,113,Completed
435,3,54,Bhatt Greens,Mixed-Use,2023-07-11,2026-06-25,147,135,12,Completed
436,19,38,Pathak Heights,Residential,2023-04-02,2025-01-29,197,130,67,Completed
437,37,2,Chopra Meadows,Residential,2023-06-16,2026-01-30,234,224,10,Under Construction
438,4,59,Kant Heights,Villa Community,2023-02-13,2025-06-11,186,119,67,Completed
439,27,75,Bassi Towers,Residential,2025-10-31,2029-10-13,565,308,257,Under Construction
440,35,72,Verma Enclave,Residential,2024-08-19,2027-06-01,124,93,31,Nearing Completion
441,6,31,Balasubramanian Towers,Villa Community,2022-04-16,2023-11-09,42,29,13,Nearing Completion
442,29,90,Srinivas Vista,Residential,2020-12-19,2024-03-26,71,54,17,Nearing Completion
443,15,87,Sandhu Meadows,Villa Community,2025-04-17,2027-01-15,441,325,116,Under Construction
444,1,30,Swaminathan Residency,Residential,2024-05-28,2027-06-23,192,189,3,Nearing Completion
445,1,70,Sawhney Greens,Residential,2024-07-20,2027-05-12,523,442,81,Under Construction
446,32,21,Buch Meadows,Residential,2021-01-13,2023-07-06,207,174,33,Completed
447,24,86,Divan Meadows,Residential,2022-05-28,2025-02-25,258,169,89,Completed
448,9,11,Maharaj Enclave,Residential,2020-12-28,2024-10-13,499,381,118,Completed
449,32,79,Nair Heights,Residential,2024-01-25,2026-04-18,353,312,41,Completed
450,15,41,Wali Greens,Residential,2022-09-23,2024-01-30,589,421,168,Nearing Completion
451,31,54,Tiwari Meadows,Residential,2022-04-03,2025-08-07,431,404,27,Under Construction
452,30,66,Chaudhary Greens,Residential,2023-12-18,2026-08-30,205,178,27,Completed
453,5,82,Contractor Heights,Residential,2024-12-29,2028-05-15,57,39,18,Under Construction
454,13,14,Kale Greens,Residential,2025-04-28,2028-05-24,296,237,59,Under Construction
455,30,29,Kari Enclave,Mixed-Use,2022-12-31,2025-09-23,241,213,28,Completed
456,38,20,Setty Enclave,Residential,2022-11-28,2024-05-19,69,56,13,Under Construction
457,4,30,Chandran Vista,Residential,2022-10-29,2025-03-23,309,204,105,Completed
458,15,53,Munshi Vista,Residential,2022-05-08,2025-08-19,477,412,65,Nearing Completion
459,24,48,Prasad Heights,Villa Community,2024-04-16,2025-08-23,562,438,124,Under Construction
460,17,47,Som Heights,Villa Community,2025-11-16,2027-08-16,406,386,20,Completed
461,1,24,Chada Towers,Mixed-Use,2020-12-31,2024-02-21,78,61,17,Under Construction
462,12,50,Char Meadows,Residential,2021-02-22,2024-03-22,403,302,101,Completed
463,3,13,Pradhan Towers,Villa Community,2024-09-22,2028-03-22,496,321,175,Completed
464,34,88,Bhasin Enclave,Residential,2025-02-04,2028-05-05,337,332,5,Under Construction
465,16,16,Narayan Greens,Residential,2023-11-10,2025-09-20,351,217,134,Under Construction
466,18,83,Roy Vista,Villa Community,2024-04-26,2026-04-08,582,416,166,Under Construction
467,25,38,Sampath Residency,Residential,2022-07-30,2026-03-26,563,490,73,Under Construction
468,10,18,Behl Greens,Residential,2025-05-28,2027-05-07,64,62,2,Completed
469,38,14,Muni Heights,Residential,2025-12-16,2029-06-05,122,91,31,Under Construction
470,40,85,Tripathi Heights,Mixed-Use,2022-07-26,2025-11-13,320,304,16,Completed
471,27,14,Subramaniam Towers,Residential,2021-10-20,2024-05-04,212,100,112,Nearing Completion
472,32,88,Chokshi Vista,Residential,2021-11-12,2024-12-31,430,386,44,Completed
473,29,84,Pillai Towers,Residential,2022-07-23,2024-08-04,415,335,80,Completed
474,19,66,Mallick Enclave,Residential,2021-04-06,2025-04-02,147,114,33,Under Construction
475,25,75,Sanghvi Vista,Residential,2023-10-16,2027-08-08,141,102,39,Nearing Completion
476,26,33,Bal Vista,Mixed-Use,2025-04-12,2028-08-09,113,107,6,Nearing Completion
477,20,37,Loke Heights,Residential,2023-12-25,2025-03-26,260,228,32,Under Construction
478,8,48,Mahajan Vista,Residential,2020-10-16,2024-04-12,571,565,6,Under Construction
479,40,14,More Towers,Residential,2024-06-30,2028-02-05,558,377,181,Under Construction
480,37,56,Panchal Enclave,Mixed-Use,2025-09-13,2029-04-09,449,371,78,Under Construction
481,18,76,Dhar Enclave,Residential,2020-08-31,2022-05-29,430,358,72,Under Construction
482,23,24,Rattan Vista,Residential,2023-09-30,2026-11-14,192,125,67,Completed
483,17,65,Balasubramanian Vista,Residential,2021-01-05,2022-08-05,92,52,40,Under Construction
484,33,46,Wali Meadows,Residential,2021-02-19,2024-08-01,561,457,104,Under Construction
485,29,84,Saini Greens,Mixed-Use,2021-10-25,2025-06-04,86,63,23,Completed
486,31,48,Dugar Vista,Residential,2023-02-16,2026-04-22,311,234,77,Under Construction
487,30,23,Nair Meadows,Residential,2022-09-01,2025-05-19,491,388,103,Under Construction
488,9,38,Chad Heights,Residential,2024-11-26,2027-02-15,110,92,18,Under Construction
489,15,76,Dugal Greens,Residential,2025-06-28,2027-08-31,430,351,79,Under Construction
490,17,14,Bawa Towers,Residential,2021-07-01,2023-06-07,108,63,45,Under Construction
491,6,56,Magar Heights,Residential,2024-05-04,2027-05-10,502,478,24,Completed
492,13,19,Samra Meadows,Residential,2023-01-26,2025-09-02,85,69,16,Under Construction
493,34,32,Sathe Residency,Residential,2023-04-21,2027-04-11,127,113,14,Completed
494,1,7,Kale Towers,Residential,2022-11-29,2026-11-11,470,465,5,Completed
495,40,89,Comar Greens,Residential,2024-10-13,2026-10-09,355,272,83,Under Construction
496,2,74,Choudhry Vista,Residential,2022-07-13,2023-12-01,95,79,16,Nearing Completion
497,39,78,Sur Heights,Residential,2022-03-11,2023-04-23,538,430,108,Completed
498,35,83,Morar Heights,Residential,2023-07-13,2024-09-16,201,145,56,Nearing Completion
499,13,25,Rana Heights,Residential,2020-11-18,2022-11-08,418,373,45,Completed
500,7,36,Bhakta Greens,Residential,2026-01-17,2027-11-15,470,465,5,Nearing Completion
